id,case,date
22129,HY444358,09/30/2015 02:12:00 PM
22130,HY444338,09/30/2015 03:10:00 PM
22131,HY445645,10/01/2015 10:09:00 PM
22132,HR679297,10/01/2015 08:35:00 PM
22133,HY449587,10/04/2015 08:18:00 PM
22134,HY451886,10/06/2015 08:46:00 PM
22136,HY453219,10/07/2015 05:18:00 PM
22137,HY454710,10/08/2015 08:52:00 PM
22138,HY455431,10/09/2015 01:25:00 PM
22139,HY456343,10/10/2015 03:20:00 AM
22140,HY456368,10/10/2015 04:12:00 AM
22141,HY448756,10/06/2015 06:19:00 PM
22142,HY457542,10/11/2015 05:30:00 AM
22143,HY458595,10/12/2015 03:05:00 AM
22144,HY460909,10/13/2015 09:50:00 PM
22146,HY461959,10/14/2015 05:43:00 PM
22147,HY462383,10/14/2015 11:28:00 PM
22148,HY463786,10/16/2015 01:35:00 AM
22149,HY463892,10/16/2015 08:12:00 AM
22150,HY466381,10/18/2015 02:07:00 AM
22151,HY466977,10/18/2015 04:26:00 PM
22152,HY468621,10/19/2015 09:27:00 PM
22153,HY473963,10/23/2015 09:27:00 PM
22154,HY474220,10/24/2015 12:58:00 AM
22155,HY473471,10/24/2015 03:21:00 AM
22157,HY474981,10/24/2015 05:40:00 PM
22158,HY475493,10/25/2015 02:46:00 AM
22159,HY476639,10/26/2015 03:03:00 AM
22160,HY476607,10/26/2015 01:55:00 AM
22161,HY480705,10/30/2015 02:14:00 PM
22162,HY310631,10/19/2015 12:01:00 AM
22163,HY483064,10/31/2015 01:11:00 AM
22164,HY484627,11/01/2015 11:33:00 AM
22165,HY486445,11/02/2015 04:15:00 PM
22166,HY486607,11/02/2015 06:21:00 PM
22167,HY487514,11/03/2015 01:36:00 PM
22168,HY487916,11/03/2015 07:28:00 PM
22169,HY490839,11/05/2015 08:42:00 PM
22170,HY492138,11/07/2015 12:22:00 AM
22171,HY492469,11/07/2015 03:24:00 AM
22172,HY493451,11/07/2015 09:31:00 PM
22173,HY493495,11/07/2015 11:22:00 PM
22174,HY495347,11/09/2015 02:25:00 PM
22175,HY497309,11/11/2015 07:00:00 AM
22176,HY498291,11/11/2015 10:36:00 PM
22177,HY498323,11/12/2015 12:57:00 AM
22178,HY498680,11/12/2015 11:10:00 AM
22179,HY501231,11/14/2015 01:04:00 PM
22180,HY505611,11/18/2015 12:37:00 AM
22183,HY509513,11/21/2015 01:37:00 AM
22184,HY510470,11/21/2015 08:31:00 PM
22185,HY511115,11/22/2015 05:28:00 PM
22186,HY511394,11/22/2015 08:34:00 PM
22187,HY511439,11/22/2015 09:18:00 PM
22188,HY512586,11/23/2015 06:53:00 PM
22189,HY514161,11/25/2015 02:56:00 AM
22190,HY515241,11/26/2015 12:06:00 AM
22191,HY515665,11/26/2015 02:29:00 PM
22192,HY516152,11/27/2015 05:00:00 AM
22193,HY516538,11/27/2015 01:58:00 PM
22194,HY517759,11/28/2015 05:45:00 PM
22195,HY517997,11/28/2015 09:18:00 PM
22196,HY518079,11/29/2015 12:17:00 AM
22197,HY518110,11/29/2015 02:15:00 AM
22198,HY518961,11/29/2015 08:16:00 PM
22200,HY520411,12/01/2015 01:52:00 AM
22201,HY519962,12/01/2015 06:43:00 PM
22202,HY522926,12/03/2015 05:53:00 AM
22203,G032677,05/30/2015 12:00:00 AM
22204,HY518381,11/29/2015 09:17:00 AM
22205,HY223326,04/15/2015 05:50:00 PM
22206,HY524769,12/04/2015 04:24:00 PM
22207,HY525017,12/04/2015 07:48:00 PM
22208,HY525517,12/05/2015 07:06:00 AM
22209,HY526691,12/06/2015 07:11:00 AM
22212,HY175983,03/08/2015 03:00:00 AM
22213,HY175983,03/22/2015 12:00:00 AM
22214,HY528984,12/09/2015 03:44:00 PM
22215,HY405070,09/14/2015 11:33:00 PM
22216,HY402004,08/29/2015 09:42:00 AM
22217,HY402004,08/29/2015 09:42:00 AM
22218,HY533782,12/11/2015 10:48:00 PM
22219,HY535398,12/13/2015 10:41:00 AM
22220,HV565069,09/26/2015 12:00:00 AM
22221,HY378628,08/11/2015 12:01:00 AM
22222,HY538907,12/16/2015 04:45:00 AM
22223,HY539340,12/17/2015 12:42:00 AM
22224,HY540283,12/17/2015 09:43:00 AM
22225,HY540904,12/17/2015 05:15:00 PM
22226,HY540982,12/17/2015 05:53:00 PM
22227,HY543765,12/20/2015 06:42:00 AM
22228,HY543781,12/20/2015 06:52:00 AM
22229,HY544303,12/21/2015 12:35:00 AM
22230,HY543741,12/21/2015 03:19:00 PM
22231,HY547693,12/23/2015 02:30:00 PM
22232,HY548051,12/23/2015 06:35:00 PM
22234,HY549155,12/24/2015 04:50:00 PM
22236,HY549737,12/25/2015 12:24:00 PM
22237,HY550929,12/26/2015 07:47:00 PM
22238,HY551081,12/26/2015 10:40:00 PM
22239,HY551250,12/27/2015 02:16:00 AM
22240,HY551250,12/27/2015 06:05:00 AM
22242,HY287885,06/08/2015 04:45:00 PM
22243,HY554270,12/29/2015 10:39:00 PM
22244,HY550751,12/28/2015 12:01:00 AM
22248,HY533967,12/15/2015 02:48:00 AM
22257,HY388410,08/19/2015 01:39:00 AM
22258,HY487374,11/03/2015 11:19:00 AM
22265,HY505905,11/18/2015 09:36:00 AM
21981,F218264,07/11/2015 01:45:00 AM
22235,HY549247,12/24/2015 07:09:00 PM
10222837,HY409243,09/03/2015 07:28:12 PM
22182,HY509229,11/20/2015 09:08:00 PM
